,#NCBI_GeneID,gencodeId,HGNC_ID,geneSymbol,name,refseq,RefSeq_prot,transcriptId,Ensembl_prot,MANE_status,GRCh38_chr,chr_start,chr_end,chr_strand
0,GeneID:1,ENSG00000121410,HGNC:5,A1BG,alpha-1-B glycoprotein,NM_130786,NP_570602.2,ENST00000263100,ENSP00000263100.2,MANE Select,19,58345183,58353492,-
1,GeneID:2,ENSG00000175899,HGNC:7,A2M,alpha-2-macroglobulin,NM_000014,NP_000005.3,ENST00000318602,ENSP00000323929.8,MANE Select,12,9067708,9115919,-
2,GeneID:9,ENSG00000171428,HGNC:7645,NAT1,N-acetyltransferase 1,NM_000662,NP_000653.3,ENST00000307719,ENSP00000307218.4,MANE Select,8,18210109,18223689,+
3,GeneID:10,ENSG00000156006,HGNC:7646,NAT2,N-acetyltransferase 2,NM_000015,NP_000006.2,ENST00000286479,ENSP00000286479.3,MANE Select,8,18391282,18401218,+
4,GeneID:12,ENSG00000196136,HGNC:16,SERPINA3,serpin family A member 3,NM_001085,NP_001076.2,ENST00000393078,ENSP00000376793.3,MANE Select,14,94612391,94624053,+
5,GeneID:13,ENSG00000114771,HGNC:17,AADAC,arylacetamide deacetylase,NM_001086,NP_001077.2,ENST00000232892,ENSP00000232892.6,MANE Select,3,151814116,151828488,+
6,GeneID:14,ENSG00000127837,HGNC:18,AAMP,angio associated migratory cell protein,NM_001087,NP_001078.2,ENST00000248450,ENSP00000248450.4,MANE Select,2,218264129,218270137,-
7,GeneID:15,ENSG00000129673,HGNC:19,AANAT,aralkylamine N-acetyltransferase,NM_001088,NP_001079.1,ENST00000392492,ENSP00000376282.2,MANE Select,17,76467603,76470117,+
8,GeneID:16,ENSG00000090861,HGNC:20,AARS1,alanyl-tRNA synthetase 1,NM_001605,NP_001596.2,ENST00000261772,ENSP00000261772.8,MANE Select,16,70252298,70289506,-
9,GeneID:18,ENSG00000183044,HGNC:23,ABAT,4-aminobutyrate aminotransferase,NM_020686,NP_065737.2,ENST00000268251,ENSP00000268251.8,MANE Select,16,8674617,8784570,+
10,GeneID:19,ENSG00000165029,HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,NM_005502,NP_005493.2,ENST00000374736,ENSP00000363868.3,MANE Select,9,104781006,104928155,-
11,GeneID:20,ENSG00000107331,HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,NM_001606,NP_001597.2,ENST00000341511,ENSP00000344155.6,MANE Select,9,137007234,137028237,-
